
    ORGAN DOSE CONVERSION FACTORS FOR AN ADULT HERMAPHRODITE
    CALCULATED FOR A VARIETY OF CT SCANNERS AND CONDITIONS.
    VALUES ARE GIVEN FOR 208 5 MM SLICES SPANNING THE BODY
    FROM 100 MM BELOW THE BOTTOM OF THE TRUNK TO THE TOP OF THE HEAD.

                     ORGANS OR REGIONS
 1 ADRENALS              10 HEART                  19 THYMUS                   
 2 BRAIN                 11 KIDNEYS                20 THYROID                  
 3 BREASTS               12 LIVER                  21 URINARY BLADDER          
 4 EYE LENSES            13 LUNGS                  22 UTERUS                   
 5 GALL BLADDER          14 OVARIES                23 HEAD REGION              
 6 STOMACH               15 PANCREAS               24 TRUNK REGION             
 7 SMALL INTESTINE       16 SKIN                   25 LEG REGION               
 8 UPPER LARGE INTESTINE 17 SPLEEN                 26 SKELETON                 
 9 LOWER LARGE INTESTINE 18 TESTICLES              27 RED MARROW               

 04 PICKER 1200SX: SHAPED FILTER (LEXAN) FOR HEAD IRRADIATION
    FOCUS TO AXIS DISTANCE IS 640 MM
    FAN ANGLE DOES NOT COVER FULL WIDTH OF TRUNK
    X-RAY SPECTRUM HAS MAXIMUM ENERGY OF 130 KEV
    INITIAL FILTRATION IS 0.7 MM OF ALUMINIUM

    CONVERSION FACTORS AND STATISTICAL UNCERTAINTIES(%) FOR ORGANS IN EACH SLICE
 3 1.770E-06 8.608E+01  5 6.052E-06 1.000E+02  6 1.043E-05 4.773E+01  7 8.192E-05 8.321E+00  8 5.222E-05 1.282E+01
 9 1.552E-03 4.388E+00 10 1.335E-06 7.622E+01 11 1.480E-06 5.282E+01 12 3.972E-06 3.519E+01 13 4.845E-09 1.000E+02
14 6.914E-05 4.699E+01 15 4.706E-06 7.401E+01 16 1.440E-03 1.173E+00 17 2.375E-07 7.623E+01 18 4.541E-02 2.072E+00
21 1.299E-03 1.010E+01 22 2.773E-04 1.546E+01 24 3.293E-04 9.549E-01 25 3.497E-03 3.954E-01 26 1.602E-03 9.683E-01
27 2.998E-04 1.311E+00
 17  20
 3 4.216E-06 6.479E+01  5 1.184E-05 1.000E+02  6 9.114E-06 6.773E+01  7 8.903E-05 1.057E+01  8 7.249E-05 1.074E+01
 9 1.536E-03 4.645E+00 10 1.021E-07 1.000E+02 11 1.841E-05 5.496E+01 12 3.852E-06 3.378E+01 13 3.830E-08 1.000E+02
14 2.747E-04 3.295E+01 16 1.424E-03 1.059E+00 17 3.398E-06 6.751E+01 18 4.268E-02 2.059E+00 21 1.328E-03 6.507E+00
22 3.888E-04 1.410E+01 24 3.773E-04 7.581E-01 25 3.407E-03 3.614E-01 26 1.572E-03 7.715E-01 27 3.151E-04 1.442E+00
 18  21
 3 5.191E-06 4.114E+01  5 4.722E-07 1.000E+02  6 1.350E-05 5.643E+01  7 9.478E-05 8.382E+00  8 8.391E-05 1.739E+01
 9 1.842E-03 4.327E+00 10 2.163E-06 5.779E+01 11 1.131E-05 3.401E+01 12 4.537E-06 3.315E+01 13 7.207E-07 7.153E+01
14 2.961E-04 2.942E+01 15 2.214E-05 8.496E+01 16 1.398E-03 6.969E-01 17 5.873E-06 6.503E+01 18 3.751E-02 1.976E+00
21 1.557E-03 7.869E+00 22 3.803E-04 1.210E+01 24 4.309E-04 1.019E+00 25 3.291E-03 3.914E-01 26 1.519E-03 8.735E-01
27 3.340E-04 1.314E+00
 19  21
 1 7.903E-06 1.000E+02  3 1.697E-06 4.985E+01  5 3.857E-05 6.919E+01  6 6.124E-06 5.158E+01  7 1.038E-04 7.366E+00
 8 7.032E-05 1.461E+01  9 2.033E-03 3.877E+00 10 5.328E-07 1.000E+02 11 1.434E-05 4.342E+01 12 3.131E-06 2.784E+01
14 2.380E-04 3.317E+01 15 4.734E-06 9.947E+01 16 1.394E-03 1.283E+00 17 9.335E-07 6.735E+01 18 2.591E-02 2.648E+00
21 1.678E-03 8.598E+00 22 2.723E-04 1.647E+01 24 5.036E-04 8.554E-01 25 3.148E-03 4.501E-01 26 1.475E-03 9.413E-01
27 3.572E-04 1.585E+00
 20  21
 3 1.267E-05 3.119E+01  5 6.018E-05 5.286E+01  6 1.463E-05 5.163E+01  7 1.213E-04 7.013E+00  8 9.889E-05 1.209E+01
 9 2.281E-03 4.276E+00 10 6.741E-07 1.000E+02 11 7.556E-06 4.105E+01 12 4.756E-06 2.905E+01 13 2.369E-07 8.094E+01
14 3.927E-04 2.459E+01 15 1.283E-06 9.586E+01 16 1.358E-03 9.182E-01 17 3.030E-08 1.000E+02 18 1.480E-02 3.349E+00
21 1.840E-03 5.991E+00 22 6.152E-04 1.032E+01 24 6.071E-04 6.100E-01 25 2.915E-03 3.969E-01 26 1.416E-03 1.049E+00
27 3.959E-04 1.210E+00
 21  21
 1 5.459E-07 1.000E+02  3 1.692E-06 5.650E+01  6 3.413E-06 4.561E+01  7 1.336E-04 6.632E+00  8 9.778E-05 1.400E+01
 9 3.293E-03 3.442E+00 10 5.725E-08 1.000E+02 11 9.477E-06 4.439E+01 12 8.651E-06 2.752E+01 13 3.710E-07 9.437E+01
14 5.129E-04 2.488E+01 15 2.343E-06 9.591E+01 16 1.151E-03 1.257E+00 17 8.685E-06 6.629E+01 18 7.202E-03 5.890E+00
21 1.847E-03 7.376E+00 22 7.110E-04 1.137E+01 24 1.482E-03 3.645E-01 25 1.249E-03 8.045E-01 26 1.315E-03 6.234E-01
27 6.117E-04 1.254E+00
 22  21
 3 3.167E-06 5.612E+01  5 1.384E-07 1.000E+02  6 1.190E-05 4.046E+01  7 1.496E-04 6.036E+00  8 1.051E-04 1.397E+01
 9 3.762E-03 2.651E+00 10 6.102E-08 1.000E+02 11 6.202E-06 6.554E+01 12 4.868E-06 2.479E+01 13 5.413E-07 8.859E+01
14 3.416E-04 2.297E+01 15 2.615E-06 7.791E+01 16 1.134E-03 1.148E+00 17 1.901E-06 6.772E+01 18 6.268E-03 4.336E+00
21 2.230E-03 5.295E+00 22 7.830E-04 8.595E+00 24 1.604E-03 3.753E-01 25 1.037E-03 6.211E-01 26 1.268E-03 8.672E-01
27 6.480E-04 1.393E+00
 23  22
 1 1.727E-07 1.000E+02  3 6.792E-07 1.000E+02  5 1.075E-05 1.000E+02  6 9.688E-06 3.965E+01  7 1.741E-04 6.444E+00
 8 1.417E-04 1.303E+01  9 4.041E-03 2.607E+00 10 4.423E-08 8.776E+01 11 1.944E-05 2.960E+01 12 4.656E-06 2.284E+01
13 5.096E-07 4.843E+01 14 5.688E-04 2.847E+01 15 1.639E-06 5.345E+01 16 1.110E-03 1.146E+00 17 4.107E-06 5.166E+01
18 4.922E-03 4.316E+00 21 2.730E-03 4.760E+00 22 7.437E-04 9.264E+00 24 1.682E-03 4.151E-01 25 8.789E-04 8.287E-01
26 1.211E-03 1.246E+00 27 6.770E-04 1.518E+00
 24  20
 3 8.468E-07 5.460E+01  6 6.774E-06 5.013E+01  7 1.982E-04 6.950E+00  8 1.659E-04 1.062E+01  9 4.959E-03 2.101E+00
10 9.911E-09 1.000E+02 11 9.742E-06 2.790E+01 12 7.349E-06 2.330E+01 13 6.068E-07 8.376E+01 14 3.239E-04 2.307E+01
15 4.968E-06 9.783E+01 16 1.133E-03 1.066E+00 17 3.586E-06 7.412E+01 18 3.907E-03 7.196E+00 21 3.014E-03 5.795E+00
22 7.626E-04 8.277E+00 24 1.740E-03 3.821E-01 25 7.768E-04 8.471E-01 26 1.201E-03 1.120E+00 27 7.024E-04 1.769E+00
 25  21
 3 2.974E-07 7.139E+01  5 9.266E-05 5.436E+01  6 2.128E-05 4.333E+01  7 2.304E-04 5.364E+00  8 1.470E-04 1.070E+01
 9 5.402E-03 3.166E+00 10 9.981E-07 8.246E+01 11 1.537E-05 2.531E+01 12 1.059E-05 2.010E+01 13 2.265E-06 5.021E+01
14 8.955E-04 2.588E+01 15 7.548E-06 4.316E+01 16 1.085E-03 1.178E+00 17 1.163E-05 6.309E+01 18 2.915E-03 6.584E+00
21 3.477E-03 4.468E+00 22 8.877E-04 9.944E+00 24 1.790E-03 3.933E-01 25 6.798E-04 9.703E-01 26 1.176E-03 8.927E-01
27 7.254E-04 1.618E+00
 26  21
 1 8.146E-06 8.057E+01  3 1.090E-06 7.206E+01  5 3.691E-05 7.244E+01  6 1.435E-05 3.610E+01  7 1.960E-04 6.468E+00
 8 1.644E-04 9.539E+00  9 5.762E-03 2.608E+00 11 1.778E-05 2.499E+01 12 8.975E-06 2.545E+01 13 5.547E-07 5.092E+01
14 7.612E-04 1.927E+01 15 1.399E-06 5.181E+01 16 1.070E-03 1.042E+00 17 6.094E-06 4.225E+01 18 3.256E-03 6.638E+00
21 4.227E-03 3.221E+00 22 1.026E-03 7.749E+00 24 1.831E-03 3.783E-01 25 5.902E-04 8.465E-01 26 1.137E-03 9.946E-01
27 7.465E-04 1.596E+00
 27  22
 1 3.254E-07 1.000E+02  3 1.542E-07 1.000E+02  5 1.247E-04 4.936E+01  6 5.189E-06 4.200E+01  7 2.539E-04 4.917E+00
 8 1.753E-04 7.598E+00  9 5.726E-03 1.949E+00 10 5.559E-07 1.000E+02 11 1.997E-05 3.876E+01 12 1.123E-05 1.658E+01
13 5.807E-07 7.912E+01 14 7.675E-04 2.243E+01 15 5.741E-06 8.513E+01 16 1.068E-03 9.707E-01 17 1.227E-05 4.672E+01
18 2.363E-03 7.374E+00 21 4.255E-03 4.765E+00 22 1.059E-03 9.313E+00 24 1.879E-03 2.892E-01 25 5.281E-04 1.224E+00
26 1.145E-03 9.623E-01 27 7.685E-04 1.442E+00
 28  20
 3 2.533E-06 5.482E+01  6 2.111E-05 2.871E+01  7 2.533E-04 4.917E+00  8 1.893E-04 8.257E+00  9 5.913E-03 2.718E+00
10 1.330E-06 5.827E+01 11 2.561E-05 3.048E+01 12 9.227E-06 2.086E+01 13 1.188E-06 4.883E+01 14 8.598E-04 2.050E+01
15 2.999E-06 7.689E+01 16 1.092E-03 1.089E+00 17 8.955E-06 4.739E+01 18 2.426E-03 9.416E+00 21 4.854E-03 4.356E+00
22 1.200E-03 8.022E+00 24 1.912E-03 3.587E-01 25 4.683E-04 1.006E+00 26 1.120E-03 1.087E+00 27 7.697E-04 1.369E+00
 29  21
 1 1.274E-05 1.000E+02  3 2.583E-06 4.499E+01  5 2.139E-06 8.362E+01  6 3.921E-05 3.427E+01  7 3.049E-04 3.855E+00
 8 2.114E-04 9.927E+00  9 5.624E-03 2.386E+00 11 1.154E-05 2.376E+01 12 1.462E-05 2.247E+01 13 1.530E-06 5.923E+01
14 1.064E-03 1.794E+01 15 6.783E-06 6.559E+01 16 1.055E-03 1.396E+00 17 1.051E-05 4.150E+01 18 1.720E-03 8.693E+00
21 5.795E-03 4.014E+00 22 1.529E-03 6.959E+00 24 1.932E-03 4.130E-01 25 4.102E-04 9.952E-01 26 1.088E-03 8.491E-01
27 7.851E-04 1.314E+00
 30  21
 3 1.712E-06 1.000E+02  5 2.170E-05 8.160E+01  6 2.303E-05 2.875E+01  7 3.416E-04 4.277E+00  8 2.677E-04 8.868E+00
 9 5.067E-03 3.103E+00 10 3.323E-06 9.949E+01 11 1.499E-05 2.727E+01 12 1.152E-05 2.038E+01 13 1.575E-06 5.150E+01
14 1.159E-03 2.222E+01 15 7.623E-06 5.618E+01 16 1.052E-03 1.127E+00 17 1.440E-05 5.907E+01 18 1.932E-03 7.507E+00
21 1.159E-02 3.037E+00 22 1.548E-03 8.228E+00 24 1.948E-03 4.403E-01 25 3.709E-04 1.093E+00 26 1.080E-03 8.609E-01
27 7.886E-04 1.321E+00
 31  22
 1 6.767E-07 7.451E+01  3 7.008E-07 9.743E+01  5 7.552E-05 6.891E+01  6 1.956E-05 3.402E+01  7 3.996E-04 4.593E+00
 8 2.282E-04 8.971E+00  9 4.688E-03 2.497E+00 10 9.156E-07 8.087E+01 11 1.922E-05 3.381E+01 12 1.815E-05 1.562E+01
13 3.016E-07 9.466E+01 14 1.803E-03 2.554E+01 15 1.192E-05 4.624E+01 16 1.047E-03 1.347E+00 17 5.677E-06 3.153E+01
18 1.710E-03 5.375E+00 21 1.561E-02 2.080E+00 22 1.743E-03 6.419E+00 24 1.988E-03 3.576E-01 25 3.250E-04 1.078E+00
26 1.070E-03 1.171E+00 27 8.011E-04 1.585E+00
 32  23
 1 2.340E-05 9.911E+01  3 2.672E-06 5.460E+01  5 2.528E-05 6.235E+01  6 3.008E-05 2.508E+01  7 3.874E-04 4.506E+00
 8 3.644E-04 7.949E+00  9 4.576E-03 3.424E+00 10 1.036E-05 7.985E+01 11 2.473E-05 2.596E+01 12 1.627E-05 1.049E+01
13 3.396E-06 6.301E+01 14 1.137E-03 2.505E+01 15 2.252E-05 4.682E+01 16 1.060E-03 1.157E+00 17 3.161E-05 3.673E+01
18 1.403E-03 1.101E+01 21 1.564E-02 3.048E+00 22 2.035E-03 5.669E+00 23 3.718E-08 1.000E+02 24 1.992E-03 3.329E-01
25 2.902E-04 1.319E+00 26 1.050E-03 9.482E-01 27 7.999E-04 1.168E+00
 33  22
 1 1.859E-05 8.745E+01  3 2.026E-07 1.000E+02  5 3.108E-05 7.383E+01  6 2.379E-05 2.143E+01  7 4.500E-04 3.894E+00
 8 3.415E-04 9.706E+00  9 4.405E-03 3.242E+00 10 5.298E-07 7.546E+01 11 2.303E-05 2.050E+01 12 1.869E-05 1.607E+01
13 1.363E-06 5.443E+01 14 1.665E-03 1.538E+01 15 1.283E-05 4.980E+01 16 1.062E-03 1.021E+00 17 1.318E-05 3.569E+01
18 1.138E-03 1.460E+01 21 1.667E-02 2.741E+00 22 2.329E-03 4.925E+00 24 2.019E-03 3.777E-01 25 2.563E-04 1.313E+00
26 1.050E-03 9.440E-01 27 8.119E-04 1.473E+00
 34  22
